t_adx,t_cci,x_thr,t_max,r_max,r_min,mean,sd,t_mean,t_sd
5,50,0.45,110,0.09,-0.5,0.0235367603080888,0.125067138297208,51.134499751345,42.7065095996422
5,50,0.45,115,0.09,-0.5,0.024298439170359,0.125988140364551,52.2732942261464,44.5011367330195
5,50,0.45,120,0.09,-0.5,0.0245901798429719,0.127342171146676,53.4679224141847,46.305212491082
5,50,0.45,125,0.09,-0.5,0.0257707121214821,0.127540672142822,54.4659918997576,48.0249025168547
5,50,0.5,110,0.09,-0.5,0.0235987516895272,0.125098867047611,51.0710535355022,42.6913543731672
5,50,0.5,115,0.09,-0.5,0.0243469008005549,0.126096044507129,52.2030244847053,44.4831748153694
5,50,0.5,120,0.09,-0.5,0.0246160181540787,0.127476639209427,53.4007230895645,46.287347669446
5,50,0.5,125,0.09,-0.5,0.0258228916215413,0.127633120156552,54.3884412038832,48.0019160443133
5,50,0.55,110,0.09,-0.5,0.0236151457019775,0.12520352373874,50.9974441693997,42.6957958753052
5,50,0.55,115,0.09,-0.5,0.0243767072107818,0.126194712480237,52.1276908593715,44.4862470345387
5,50,0.55,120,0.09,-0.5,0.024637472856237,0.127555024981249,53.3282699058238,46.2906935254416
5,50,0.55,125,0.09,-0.5,0.0258434369053756,0.127697428749472,54.3105387429931,48.0024909997912
5,50,0.6,110,0.09,-0.5,0.02399821943169,0.124895508571214,50.8323234516244,42.675028139904
5,50,0.6,115,0.09,-0.5,0.0247393151493387,0.125892330308268,51.9586955230382,44.4625181005602
5,50,0.6,120,0.09,-0.5,0.0249676658967562,0.127298709944584,53.1616081517753,46.2663744138711
5,50,0.6,125,0.09,-0.5,0.0261352749137413,0.127476401118632,54.1385431280658,47.9742940972177
5,50,0.65,110,0.09,-0.5,0.0240204569346251,0.125101777624999,50.752037008413,42.6540152913147
5,50,0.65,115,0.09,-0.5,0.0247643081165719,0.126095988576295,51.874417110641,44.4389542227689
5,50,0.65,120,0.09,-0.5,0.0249823032253044,0.127523237514547,53.0883852942481,46.2461845900839
5,50,0.65,125,0.09,-0.5,0.0261947320235067,0.127618597928064,54.056863334335,47.949910943591
5,50,0.7,110,0.09,-0.5,0.0240162727815148,0.138821393635744,50.5834256481747,42.664117962675
5,50,0.7,115,0.09,-0.5,0.0247303596803904,0.139755484202371,51.703576066327,44.4465694135175
5,50,0.7,120,0.09,-0.5,0.0249239339688761,0.141058388251431,52.9183183783649,46.2532038117781
5,50,0.7,125,0.09,-0.5,0.026094707084973,0.14125323683421,53.8857150025717,47.9553208922907
5,50,0.75,110,0.09,-0.5,0.0239417441640728,0.140586125704228,50.5866579277328,42.7044593157839
5,50,0.75,115,0.09,-0.5,0.0246543338536895,0.141538098185085,51.7151166945361,44.491195493086
5,50,0.75,120,0.09,-0.5,0.0247863038416278,0.142880469280295,52.9426041934838,46.3036998487829
5,50,0.75,125,0.09,-0.5,0.0260480441255549,0.142995035292218,53.905345835188,48.0058330566529
5,55,0.45,110,0.09,-0.5,0.0234903581143975,0.125025287389166,51.128328681788,42.7417130888748
5,55,0.45,115,0.09,-0.5,0.024249123454659,0.125990382077923,52.267129221392,44.5379963892123
5,55,0.45,120,0.09,-0.5,0.0245090914189706,0.127330995419566,53.4786275800643,46.3493252869774
5,55,0.45,125,0.09,-0.5,0.0256451806200249,0.127617319243897,54.4804418463643,48.0720025731392
5,55,0.5,110,0.09,-0.5,0.0237383010085759,0.124993981399272,50.9760254965607,42.6995682833517
5,55,0.5,115,0.09,-0.5,0.0245029755346442,0.125973637204614,52.1060171436285,44.4907300174498
5,55,0.5,120,0.09,-0.5,0.0247244790873314,0.127362969082971,53.3148878658614,46.2989511855325
5,55,0.5,125,0.09,-0.5,0.0258870513794924,0.127586796330357,54.3015881091073,48.013635332163
5,55,0.55,110,0.09,-0.5,0.0237455422681522,0.125141414261921,50.8865265920095,42.7045158786707
5,55,0.55,115,0.09,-0.5,0.0244951093278466,0.126159183706729,52.0152119099707,44.494680925973
5,55,0.55,120,0.09,-0.5,0.0246735834968187,0.127566554136867,53.2316864943115,46.3056920320937
5,55,0.55,125,0.09,-0.5,0.0258525745166633,0.127753347239036,54.2122310200279,48.0176311969077
5,55,0.6,110,0.09,-0.5,0.0243493409733039,0.124562950252393,50.6954461835709,42.6671086098047
5,55,0.6,115,0.09,-0.5,0.0250754101849146,0.125579075300076,51.8211387981072,44.4534358915542
5,55,0.6,120,0.09,-0.5,0.0252150114640638,0.127020708764364,53.0369529548949,46.2617223355829
5,55,0.6,125,0.09,-0.5,0.026338437480175,0.127251060541961,54.0183221128949,47.9711301728683
5,55,0.65,110,0.09,-0.5,0.0244265391923425,0.137313672371255,50.5604323123387,42.6379391750166
5,55,0.65,115,0.09,-0.5,0.0251666155715301,0.138261151209045,51.6798569919558,44.4194681890511
5,55,0.65,120,0.09,-0.5,0.025317553764435,0.139587199300966,52.9036578424654,46.2283271425025
5,55,0.65,125,0.09,-0.5,0.0264502443872129,0.139795353061136,53.8692296031996,47.9288912819831
5,55,0.7,110,0.09,-0.5,0.024641954752805,0.139014772187043,50.3618308786853,42.6281860616787
5,55,0.7,115,0.09,-0.5,0.0253015246081894,0.139983788745642,51.4827331972879,44.4086919794856
5,55,0.7,120,0.09,-0.5,0.0254414148244581,0.141293126162232,52.7038178800095,46.2160600978508
5,55,0.7,125,0.09,-0.5,0.0265573751435385,0.141533431244603,53.663501593557,47.9134947949823
5,55,0.75,110,0.09,-0.5,0.0246417443321477,0.140973271859788,50.314552781481,42.680933630189
5,55,0.75,115,0.09,-0.5,0.0253393672734768,0.141913436375165,51.4409785003419,44.4648655298122
