t_adx,t_cci,t_xad,t_xbd,t_sgd,xa_thr,xb_thr,t_max,r_max,r_min,apy_mean,apy_sd
225,156,3,9,13,0.76,0.95,46,0.18,-0.27,0.00892499099298346,0.0979773805318514
119,168,8,1,14,0.35,0.22,105,0.03,-0.58,0.0936420895445488,0.0514508912566645
32,129,15,11,6,0.21,0.94,113,0.13,-0.13,0.0653792199257452,0.0596884137256153
49,84,20,16,7,0.23,0.83,160,0.08,-0.01,-0.0376026336280149,0.0904924514673982
117,60,10,15,18,0.26,0.31,40,0.2,-0.37,0.0416864451635147,0.0827897921432628
122,212,19,4,20,0.9,0.33,143,0.12,-0.28,0.0795573049123403,0.0491217730909666
198,70,18,13,3,0.42,0.9,153,0.11,-0.15,0.0559209132918535,0.0746527980534584
201,126,16,19,5,0.82,0.7,42,0.16,-0.22,0.0043457440192974,0.10152753654312
136,11,1,7,4,0.24,0.39,122,0.09,-0.54,0.0605706561031014,0.0753294533408763
215,108,2,3,8,0.28,0.48,134,0.17,-0.07,0.0159140573239533,0.0839689407714399
167,138,5,2,11,0.3,0.35,120,0.1,-0.32,0.0680520327932378,0.0886017163602317
143,110,6,2,12,0.32,0.29,112,0.06,-0.45,0.0792486406380299,0.0730643597726396
131,139,7,2,17,0.33,0.26,108,0.04,-0.52,0.0935823154952539,0.0586144933461134
125,154,8,2,16,0.4,0.24,106,0.04,-0.55,0.111180353525425,0.0619353922272663
125,154,10,2,16,0.4,0.24,106,0.04,-0.55,0.112111291421538,0.0651220056230573
125,154,9,2,16,0.4,0.24,106,0.04,-0.55,0.109363618132878,0.0623253296584781
125,154,8,2,16,0.4,0.24,106,0.07,-0.55,0.116712496187484,0.066363977438853
104,154,8,2,16,0.4,0.24,106,0.07,-0.55,0.119513870294096,0.0665414611323984
104,154,8,2,16,0.4,0.24,106,0.07,-0.61,0.121468036134627,0.0676559999806274
104,154,4,2,16,0.4,0.24,106,0.07,-0.61,0.118522572180021,0.0687558556278708
104,154,6,2,16,0.4,0.24,106,0.07,-0.69,0.118161667431444,0.0722336995531295
104,154,7,2,16,0.46,0.24,106,0.07,-0.65,0.10924093422846,0.0683431083325115
110,154,8,2,16,0.43,0.24,106,0.07,-0.63,0.117370170587222,0.068606673491613
107,154,8,2,16,0.42,0.24,106,0.07,-0.56,0.123355746184508,0.0702690744143113
106,154,8,2,16,0.41,0.24,52,0.07,-0.58,0.116961620846827,0.0516287517343222
106,154,4,2,16,0.41,0.24,52,0.07,-0.58,0.120719310957774,0.0528308131335195
106,154,4,2,16,0.41,0.24,51,0.07,-0.58,0.121621602438662,0.0517504137558826
120,154,4,2,16,0.41,0.24,51,0.07,-0.58,0.118595408743401,0.0523763129261246
113,170,4,2,16,0.41,0.24,51,0.07,-0.58,0.114551615977911,0.055416281376963
110,162,4,2,16,0.41,0.24,51,0.07,-0.58,0.114795141261319,0.0532572610990188
108,158,4,2,16,0.41,0.2,51,0.07,-0.58,0.120998853640818,0.0519256070321517
107,156,4,2,16,0.41,0.22,51,0.07,-0.58,0.11474935647611,0.0509431732768592
106,155,4,2,16,0.41,0.23,51,0.07,-0.52,0.117157246143293,0.05182059974983
106,154,4,7,16,0.41,0.23,51,0.07,-0.55,0.113785827442721,0.052165582631777
106,154,4,3,16,0.41,0.23,51,0.07,-0.56,0.122745678212563,0.0541488939771977
106,154,4,2,16,0.41,0.23,51,0.07,-0.57,0.118883531578888,0.0517367621105753
106,154,4,2,16,0.41,0.23,51,0.07,-0.57,0.119678231435441,0.0518319183987081
106,154,4,2,16,0.41,0.23,52,0.07,-0.57,0.120705363362247,0.0527577200464645
106,154,4,2,16,0.41,0.23,52,0.07,-0.57,0.12239061194881,0.0516463823944319
106,154,4,2,16,0.41,0.23,52,0.07,-0.44,0.120733972713062,0.051512166127798
106,154,4,2,16,0.41,0.23,52,0.07,-0.5,0.119379420611856,0.0517753575879512
106,154,4,2,16,0.34,0.23,52,0.07,-0.53,0.10567075253094,0.0530548699475086
106,154,4,2,16,0.38,0.23,52,0.07,-0.58,0.11521380756942,0.0546676074723983
106,154,4,2,16,0.4,0.23,52,0.07,-0.68,0.112977436406983,0.0526595507159497
92,154,4,2,16,0.4,0.23,52,0.07,-0.62,0.114296940086963,0.053223197523256
99,154,4,2,16,0.4,0.22,52,0.07,-0.59,0.118647102224914,0.0514554603943669
102,154,4,5,16,0.4,0.22,52,0.07,-0.58,0.115329998549156,0.0532126307464712
104,154,4,4,16,0.4,0.22,52,0.07,-0.57,0.115614545497273,0.0515803591064891
105,154,5,3,16,0.4,0.22,52,0.07,-0.57,0.113094356923057,0.0518888594238345
98,154,4,2,16,0.4,0.22,52,0.07,-0.57,0.118570117023084,0.0548089409506496
102,154,4,2,16,0.4,0.22,52,0.07,-0.57,0.118605194912824,0.0533795316445456
104,154,4,2,16,0.4,0.22,52,0.07,-0.61,0.116530173372786,0.0501371538600266
105,129,4,2,16,0.4,0.22,52,0.07,-0.59,0.107709045711859,0.0501073021076988
106,142,4,2,16,0.4,0.22,52,0.07,-0.58,0.107841756795455,0.0535312128003508
106,148,4,2,16,0.4,0.22,52,0.07,-0.51,0.112528822363978,0.0554434145507111
106,151,4,2,16,0.4,0.22,52,0.06,-0.54,0.121742099729134,0.0571450129028296
106,152,4,2,16,0.4,0.22,52,0.06,-0.69,0.117451564724966,0.0517774701898273
106,153,4,2,16,0.4,0.22,52,0.06,-0.63,0.120805841295605,0.0525975961487901
106,154,4,2,16,0.4,0.22,52,0.06,-0.6,0.118240849902451,0.0546343417976303
106,154,4,2,16,0.4,0.22,52,0.09,-0.58,0.116216853806395,0.0559502088468955
106,154,4,2,16,0.25,0.22,52,0.08,-0.57,0.114729250921692,0.0554346680541198
106,154,4,2,16,0.33,0.22,44,0.08,-0.57,0.102670863910143,0.0535525346430396
106,154,4,5,16,0.37,0.22,48,0.08,-0.57,0.106115367390159,0.0503068074049788
106,154,4,4,16,0.39,0.22,50,0.08,-0.57,0.106478698171328,0.0554360086248937
106,154,4,3,16,0.4,0.22,51,0.08,-0.71,0.111324366921835,0.0535976284293467
106,154,4,4,16,0.4,0.22,52,0.08,-0.64,0.114756791148595,0.0547203529820193
106,154,5,3,16,0.4,0.22,52,0.08,-0.6,0.117064673947867,0.0540824374444852
106,154,4,2,16,0.25,0.22,52,0.08,-0.58,0.115024351119619,0.0528843444986275
106,144,4,2,16,0.33,0.22,52,0.08,-0.57,0.100963329191172,0.0532957677996308
106,149,4,2,16,0.37,0.22,52,0.08,-0.57,0.10833876451817,0.0536410064996966
106,152,6,2,16,0.39,0.22,52,0.08,-0.57,0.112805197949576,0.0509719307454661
106,153,5,2,16,0.4,0.22,52,0.08,-0.52,0.122695249860259,0.0543962976438036
136,154,4,2,16,0.4,0.22,52,0.08,-0.54,0.117520521134858,0.0529833444665699
121,179,4,2,16,0.4,0.22,52,0.08,-0.55,0.113584458758837,0.0603038621730927
114,166,4,2,16,0.34,0.22,52,0.08,-0.56,0.103344524653898,0.0531441981097977
110,160,5,2,16,0.38,0.22,52,0.08,-0.56,0.121273617810558,0.0576797869673985
108,157,4,2,16,0.4,0.24,52,0.08,-0.56,0.119505574068999,0.0552373354502324
107,156,5,2,16,0.4,0.23,52,0.08,-0.56,0.11802490373906,0.0543927463500443
139,155,4,2,16,0.4,0.23,52,0.08,-0.56,0.119532639699438,0.0548138005727315
122,154,4,2,16,0.41,0.23,52,0.08,-0.56,0.126339920104458,0.0543593024062243
122,154,4,2,16,0.41,0.23,52,0.09,-0.56,0.126392292507522,0.0554256326706564
122,154,4,2,16,0.41,0.23,52,0.08,-0.49,0.123891074614991,0.0530158350028709
122,154,4,2,16,0.41,0.2,52,0.08,-0.52,0.116740299995287,0.0509987814748091
122,170,4,2,16,0.41,0.22,52,0.08,-0.54,0.111002059819192,0.0563086177873919
122,162,7,2,16,0.41,0.22,52,0.08,-0.55,0.112282907957415,0.0539750200508726
122,158,6,2,16,0.41,0.22,45,0.08,-0.56,0.113512767652884,0.0535278678965813
122,156,5,2,16,0.41,0.22,48,0.08,-0.72,0.115059355015335,0.052411386828787
122,155,4,3,16,0.41,0.22,50,0.08,-0.64,0.113880805949037,0.0555216106082929
122,154,4,2,16,0.41,0.22,51,0.07,-0.6,0.119092484047791,0.0514970410150576
122,154,4,2,16,0.41,0.22,52,0.08,-0.58,0.11605949567729,0.0530527462427976
147,154,4,2,16,0.41,0.22,52,0.08,-0.57,0.12266544913996,0.0539801176955555
134,154,4,5,16,0.41,0.22,52,0.08,-0.56,0.119268953774393,0.0540292418756166
128,154,4,4,16,0.41,0.22,52,0.08,-0.56,0.118187725341114,0.0546668052406812
125,154,4,3,16,0.41,0.22,52,0.09,-0.56,0.120430338400103,0.0539457823424724
124,154,4,2,16,0.38,0.22,52,0.08,-0.56,0.116204508440437,0.0549878234790585
123,154,4,5,16,0.4,0.22,52,0.08,-0.56,0.11265754187956,0.0533732156625167
154,154,4,4,16,0.4,0.22,52,0.08,-0.56,0.116313546673397,0.0524134916585764
138,154,4,3,16,0.4,0.27,52,0.08,-0.56,0.119545440444938,0.0553017819906455
130,154,4,2,17,0.4,0.25,52,0.08,-0.56,0.113115950369333,0.0541925034993129
126,154,4,2,16,0.4,0.24,52,0.08,-0.56,0.121162713687494,0.0549829764481147
124,154,4,2,16,0.4,0.23,52,0.09,-0.56,0.119080372341179,0.0545131255678464
123,130,4,2,16,0.4,0.23,52,0.08,-0.56,0.107027448708639,0.0518794419306465
122,142,4,2,17,0.4,0.23,52,0.08,-0.56,0.106223185352843,0.0513417844423189
136,148,4,2,16,0.4,0.23,52,0.08,-0.56,0.121903500447559,0.0570207942297326
129,151,4,2,16,0.41,0.23,52,0.08,-0.56,0.130063665623062,0.0607532457832822
126,152,4,2,16,0.41,0.24,52,0.08,-0.56,0.12578215312093,0.053979761217254
156,153,4,2,16,0.41,0.23,52,0.08,-0.56,0.125832881336141,0.055629192499832
139,154,4,2,16,0.41,0.23,52,0.06,-0.56,0.126071714539553,0.0535382673692658
139,154,4,2,16,0.41,0.23,49,0.06,-0.56,0.116826968863429,0.052760601382928
139,154,4,2,16,0.41,0.29,50,0.06,-0.56,0.119080564643731,0.0509442197099095
162,154,4,2,16,0.41,0.26,51,0.06,-0.56,0.118100217214477,0.0534976349007428
150,154,5,2,16,0.41,0.24,52,0.06,-0.56,0.123285850228533,0.0486965934328665
150,154,5,2,16,0.41,0.24,52,0.06,-0.56,0.122609646477131,0.0517318780180618
150,154,5,2,16,0.41,0.24,52,0.06,-0.54,0.124133088062332,0.0504863554518529
150,154,5,2,16,0.41,0.22,52,0.06,-0.55,0.126711802642711,0.050324756012171
150,154,5,2,16,0.41,0.22,52,0.06,-0.55,0.126827403522714,0.0501384489962631
150,154,5,2,16,0.41,0.22,52,0.06,-0.55,0.126832870058941,0.0512727018002746
150,154,5,2,16,0.41,0.26,52,0.06,-0.55,0.12325057559006,0.0515549183071202
150,154,5,3,16,0.41,0.24,52,0.06,-0.55,0.123378497506684,0.0500259767155005
136,154,5,2,16,0.41,0.23,52,0.06,-0.55,0.131135026114179,0.0545080985967083
143,154,5,2,16,0.41,0.22,52,0.06,-0.55,0.128865596055759,0.0522374425695762
146,154,5,2,16,0.35,0.22,52,0.06,-0.55,0.119840081411383,0.0503792835518025
148,154,5,2,16,0.38,0.22,43,0.06,-0.55,0.113976342749795,0.0502132117297608
149,154,5,2,16,0.4,0.22,48,0.06,-0.55,0.116588450853784,0.050075206886458
136,154,5,2,16,0.4,0.22,50,0.06,-0.55,0.126782998190617,0.0541604383848194
143,154,5,2,16,0.4,0.22,51,0.09,-0.55,0.128284867037858,0.0560440176804881
146,154,5,2,16,0.4,0.22,52,0.08,-0.41,0.124852101646727,0.052378717869777
