t_adx,t_cci,t_xad,t_xbd,t_sgd,xa_h,xb_h,t_max,r_max,r_min,apy_mean,apy_sd,apy_symm
150,38,9,1,4,0.25,0.38,46,0.18,-0.71,0.012,0.093,0.52
31,90,16,7,11,0.72,0.15,64,0.11,-0.3,0.06,0.098,0.53
98,54,11,19,14,0.98,0.61,48,0.07,-0.64,-0.011,0.113,0.564
103,213,5,5,10,0.16,0.94,130,0.15,-0.43,0.056,0.089,0.517
229,188,18,13,13,0.47,0.03,101,0.05,-0.7,0.056,0.075,0.474
28,46,20,12,9,0.39,0.93,98,0.14,-0.34,0.068,0.085,0.498
195,231,7,14,18,0.63,0.29,131,0.02,-0.61,0.035,0.084,0.505
70,143,3,6,12,0.81,0.99,106,0.09,-0.79,0.057,0.072,0.496
83,96,14,3,2,0.65,0.91,78,0.08,-0.4,0.045,0.08,0.526
224,226,17,18,8,0.66,0.08,51,0.01,-0.31,-0.135,0.111,0.521
164,220,11,12,9,0.41,0.51,112,0.08,-0.37,0.061,0.09,0.478
134,216,8,8,10,0.29,0.72,121,0.11,-0.62,0.065,0.081,0.463
134,216,8,9,10,0.29,0.72,121,0.11,-0.62,0.063,0.082,0.481
134,216,8,6,10,0.29,0.72,121,0.11,-0.62,0.064,0.084,0.479
134,216,8,7,10,0.31,0.72,121,0.11,-0.62,0.068,0.081,0.48
134,216,8,7,10,0.31,0.81,121,0.11,-0.62,0.066,0.076,0.469
134,216,8,7,8,0.31,0.81,121,0.11,-0.62,0.067,0.08,0.458
134,216,8,7,9,0.37,0.81,121,0.11,-0.62,0.068,0.078,0.459
134,216,8,7,9,0.37,0.85,121,0.11,-0.62,0.069,0.08,0.478
168,216,8,7,9,0.37,0.85,121,0.11,-0.62,0.071,0.081,0.468
168,216,8,9,9,0.37,0.85,121,0.11,-0.62,0.069,0.078,0.469
