buy,symbol,name,cost
2024-12-06,000065,北方国际,10.488
2024-12-06,000157,中联重科, 6.738
2024-12-05,002128,电投能源,20.120
2024-12-03,600028,中国石化, 6.313
2024-11-27,600406,国电南瑞,24.869
2024-12-06,600438,通威股份,25.501
2024-12-06,600720,中交设计, 9.366
2024-12-06,600848,上海临港,10.335
2024-11-27,600968,海油发展, 4.070
2024-12-04,600988,赤峰黄金,16.869
2024-12-03,600989,宝丰能源,15.775
2024-11-28,603185,弘元绿能,18.927
2024-11-27,603515,欧普照明,16.873
2024-12-03,603799,华友钴业,32.357
2024-12-13,603871,嘉友国际,19.420
2024-12-10,605003,众望布艺,19.220
2024-12-06,605090,九丰能源,27.687
