      date symbol    name    x   x1   dx   in1   in3   in5  in10 in_score
2024-12-03 600132 重庆啤酒 0.60 0.32 0.60  0.15  0.07  0.05 -0.01     0.26
2024-12-03 600131 国网信通 0.64 0.44 0.47  0.07  0.06  0.07  0.05     0.26
2024-12-03 002223 鱼跃医疗 0.88 0.51 0.88  0.09  0.03  0.01  0.00     0.13
2024-12-03 600602 云赛智联 0.55 0.53 0.49  0.02  0.05  0.02  0.00     0.09
2024-12-03 603055 台华新材 0.55 0.39 0.28  0.08 -0.03 -0.02  0.00     0.04
2024-12-03 002290 禾盛新材 0.58 0.41 0.46  0.00  0.03  0.01  0.00     0.03
2024-12-03 600570 恒生电子 0.56 0.39 0.33 -0.02  0.02  0.02 -0.02     0.00
2024-12-03 000811 冰轮环境 0.64 0.48 0.35  0.04  0.00 -0.03 -0.05    -0.04
2024-12-03 002862 实丰文化 0.68 0.32 1.11  0.01  0.03 -0.05 -0.04    -0.05
2024-12-03 002694 顾地科技 0.58 0.41 0.50 -0.05  0.00 -0.04  0.03    -0.06
2024-12-03 600163 中闽能源 0.71 0.46 0.48  0.02 -0.04 -0.02 -0.03    -0.07
2024-12-03 603527 众源新材 0.61 0.46 0.61  0.01 -0.02 -0.02 -0.05    -0.08
2024-12-03 603580 艾艾精工 0.60 0.47 0.27 -0.10 -0.02  0.00  0.03    -0.09
2024-12-03 001311 多利科技 0.53 0.33 0.33 -0.03 -0.01 -0.03 -0.03    -0.10
2024-12-03 600113 浙江东日 0.53 0.41 0.42 -0.02 -0.05 -0.04  0.00    -0.11
2024-12-03 002850   科达利 0.75 0.34 0.36 -0.09 -0.01  0.00 -0.01    -0.12
2024-12-03 000803 山高环能 0.58 0.19 0.57 -0.02 -0.06 -0.02 -0.01    -0.12
2024-12-03 000639 西王食品 0.55 0.38 0.15 -0.06 -0.03 -0.03 -0.02    -0.13
2024-12-03 002780 三夫户外 0.61 0.15 0.66 -0.12 -0.01 -0.02  0.02    -0.13
2024-12-03 001259 利仁科技 0.53 0.40 0.53  0.00  0.00 -0.10 -0.04    -0.14
2024-12-03 002797 第一创业 0.64 0.53 0.38 -0.08 -0.02  0.00 -0.03    -0.14
2024-12-03 002388   ST新亚 0.63 0.51 0.63 -0.06 -0.06 -0.01 -0.03    -0.15
2024-12-03 603366 日出东方 0.66 0.32 0.56  0.00 -0.07 -0.05 -0.05    -0.18
2024-12-03 002951  *ST金时 0.69 0.53 0.57 -0.10 -0.06 -0.03  0.01    -0.18
2024-12-03 600961 株冶集团 0.60 0.43 0.45 -0.03 -0.10 -0.06  0.01    -0.18
2024-12-03 000066 中国长城 0.74 0.53 0.69 -0.08 -0.02 -0.02 -0.06    -0.18
2024-12-03 600919 江苏银行 0.62 0.50 0.16  0.00 -0.05 -0.06 -0.07    -0.18
2024-12-03 002236 大华股份 0.69 0.50 0.39 -0.10 -0.01 -0.02 -0.05    -0.19
2024-12-03 603330 天洋新材 0.58 0.46 0.50 -0.07 -0.04 -0.06 -0.02    -0.19
2024-12-03 600352 浙江龙盛 0.68 0.42 0.20 -0.03 -0.03 -0.07 -0.06    -0.19
2024-12-03 600789 鲁抗医药 0.55 0.45 0.44 -0.11 -0.02 -0.03 -0.03    -0.19
2024-12-03 002151 北斗星通 0.80 0.47 0.43 -0.09 -0.05 -0.03 -0.03    -0.20
2024-12-03 600141 兴发集团 0.57 0.46 0.12 -0.10 -0.06 -0.03 -0.03    -0.21
2024-12-03 603258 电魂网络 0.89 0.49 0.78 -0.06 -0.08 -0.04 -0.04    -0.22
2024-12-03 600702 舍得酒业 0.62 0.26 0.38 -0.14 -0.06 -0.03 -0.01    -0.23
2024-12-03 600637 东方明珠 0.71 0.46 0.49 -0.08 -0.08 -0.03 -0.04    -0.23
2024-12-03 002396 星网锐捷 0.65 0.43 0.65 -0.06 -0.07 -0.06 -0.06    -0.25
2024-12-03 002778 中晟高科 0.79 0.30 0.44 -0.07 -0.09 -0.04 -0.05    -0.25
2024-12-03 603885 吉祥航空 0.89 0.35 0.91 -0.11 -0.06 -0.07 -0.04    -0.28
2024-12-03 600148 长春一东 0.63 0.30 0.61 -0.16 -0.05 -0.05 -0.04    -0.30
2024-12-03 603626 科森科技 0.58 0.47 0.58 -0.16 -0.06 -0.03 -0.05    -0.30
2024-12-03 000627 天茂集团 0.60 0.51 0.28 -0.15 -0.06 -0.06 -0.04    -0.31
2024-12-03 002919 名臣健康 0.73 0.36 0.60 -0.09 -0.12 -0.08 -0.03    -0.32
2024-12-03 601020 华钰矿业 0.56 0.40 0.17 -0.23 -0.05 -0.04  0.00    -0.33
2024-12-03 600234  *ST科新 0.54 0.37 0.11 -0.03 -0.16 -0.11 -0.04    -0.34
2024-12-03 600301 华锡有色 0.57 0.42 0.39 -0.18 -0.10 -0.06 -0.01    -0.36
2024-12-03 600834 申通地铁 0.56 0.50 0.49 -0.14 -0.07 -0.08 -0.07    -0.36
2024-12-03 000151 中成股份 0.96 0.42 1.16 -0.21 -0.08 -0.09 -0.02    -0.40
2024-12-03 600568   ST中珠 0.64 0.41 0.57 -0.26 -0.04 -0.03 -0.09    -0.42
2024-12-03 600136   ST明诚 0.58 0.47 0.46 -0.23 -0.11 -0.08 -0.01    -0.43
2024-12-03 600525 长园集团 0.81 0.45 0.45 -0.26 -0.10 -0.04 -0.06    -0.46
2024-12-03 600605 汇通能源 0.61 0.12 0.66 -0.23 -0.14 -0.10 -0.04    -0.51
