date,market,symbol,name
2025-09-18,sh,000001,上证指数
2025-09-18,sh,000002,Ａ股指数
2025-09-18,sh,000003,Ｂ股指数
2025-09-18,sh,000004,工业指数
2025-09-18,sh,000005,商业指数
2025-09-18,sh,000006,地产指数
2025-09-18,sh,000007,公用指数
2025-09-18,sh,000008,综合指数
2025-09-18,sh,000009,上证380
2025-09-18,sh,000010,上证180
2025-09-18,sh,000011,基金指数
2025-09-18,sh,000012,国债指数
2025-09-18,sh,000013,企债指数
2025-09-18,sh,000015,红利指数
2025-09-18,sh,000016,上证50
2025-09-18,sh,000017,新综指
2025-09-18,sh,000018,180金融
2025-09-18,sh,000019,治理指数
2025-09-18,sh,000020,中型综指
2025-09-18,sh,000021,180治理
2025-09-18,sh,000022,沪公司债
2025-09-18,sh,000025,180基建
2025-09-18,sh,000026,180资源
2025-09-18,sh,000027,180运输
2025-09-18,sh,000028,180成长
2025-09-18,sh,000029,180价值
2025-09-18,sh,000030,180R成长
2025-09-18,sh,000031,180R价值
2025-09-18,sh,000032,上证能源
2025-09-18,sh,000033,上证材料
2025-09-18,sh,000034,上证工业
2025-09-18,sh,000035,上证可选
2025-09-18,sh,000036,上证消费
2025-09-18,sh,000037,上证医药
2025-09-18,sh,000038,上证金融
2025-09-18,sh,000039,上证信息
2025-09-18,sh,000040,上证电信
2025-09-18,sh,000041,上证公用
2025-09-18,sh,000042,上证央企
2025-09-18,sh,000043,超大盘
2025-09-18,sh,000044,上证中盘
2025-09-18,sh,000045,上证小盘
2025-09-18,sh,000046,上证中小
2025-09-18,sh,000047,上证全指
2025-09-18,sh,000048,责任指数
2025-09-18,sh,000049,上证民企
2025-09-18,sh,000050,50等权
2025-09-18,sh,000051,180等权
2025-09-18,sh,000052,50基本
2025-09-18,sh,000053,180基本
2025-09-18,sh,000054,上证海外
2025-09-18,sh,000055,上证地企
2025-09-18,sh,000056,上证国企
2025-09-18,sh,000057,全指成长
2025-09-18,sh,000058,全指价值
2025-09-18,sh,000059,全R成长
2025-09-18,sh,000060,全R价值
2025-09-18,sh,000061,沪企债30
2025-09-18,sh,000062,上证沪企
2025-09-18,sh,000063,上证周期
2025-09-18,sh,000064,非周期
2025-09-18,sh,000065,上证龙头
2025-09-18,sh,000066,上证商品
2025-09-18,sh,000067,上证新兴
2025-09-18,sh,000068,上证资源
2025-09-18,sh,000069,消费80
2025-09-18,sh,000070,能源等权
2025-09-18,sh,000071,材料等权
2025-09-18,sh,000072,工业等权
2025-09-18,sh,000073,可选等权
2025-09-18,sh,000074,消费等权
2025-09-18,sh,000075,医药等权
2025-09-18,sh,000076,金融等权
2025-09-18,sh,000077,信息等权
2025-09-18,sh,000078,电信等权
2025-09-18,sh,000079,公用等权
2025-09-18,sh,000090,上证流通
2025-09-18,sh,000091,沪财中小
2025-09-18,sh,000092,资源50
2025-09-18,sh,000093,180分层
2025-09-18,sh,000094,上证上游
2025-09-18,sh,000095,上证中游
2025-09-18,sh,000096,上证下游
2025-09-18,sh,000097,高端装备
2025-09-18,sh,000098,上证F200
2025-09-18,sh,000099,上证F300
2025-09-18,sh,000100,上证F500
2025-09-18,sh,000101,5年信用
2025-09-18,sh,000102,沪投资品
2025-09-18,sh,000103,沪消费品
2025-09-18,sh,000104,380能源
2025-09-18,sh,000105,380材料
2025-09-18,sh,000106,380工业
2025-09-18,sh,000107,380可选
2025-09-18,sh,000108,380消费
2025-09-18,sh,000109,380医药
2025-09-18,sh,000110,380金融
2025-09-18,sh,000111,380信息
2025-09-18,sh,000112,380电信
2025-09-18,sh,000113,380公用
2025-09-18,sh,000114,持续产业
2025-09-18,sh,000115,380等权
2025-09-18,sh,000116,信用100
2025-09-18,sh,000117,380成长
2025-09-18,sh,000118,380价值
2025-09-18,sh,000119,380R成长
2025-09-18,sh,000120,380R价值
2025-09-18,sh,000121,医药主题
2025-09-18,sh,000122,农业主题
2025-09-18,sh,000123,180动态
2025-09-18,sh,000125,180稳定
2025-09-18,sh,000126,消费50
2025-09-18,sh,000128,380基本
2025-09-18,sh,000129,180波动
2025-09-18,sh,000130,380波动
2025-09-18,sh,000131,上证高新
2025-09-18,sh,000132,上证100
2025-09-18,sh,000133,上证150
2025-09-18,sh,000134,上证银行
2025-09-18,sh,000135,180高贝
2025-09-18,sh,000136,180低贝
2025-09-18,sh,000137,380高贝
2025-09-18,sh,000138,380低贝
2025-09-18,sh,000139,上证转债
2025-09-18,sh,000141,380动态
2025-09-18,sh,000142,380稳定
2025-09-18,sh,000145,优势资源
2025-09-18,sh,000146,优势制造
2025-09-18,sh,000147,优势消费
2025-09-18,sh,000148,消费领先
2025-09-18,sh,000149,180红利
2025-09-18,sh,000150,380红利
2025-09-18,sh,000151,上国红利
2025-09-18,sh,000152,上央红利
2025-09-18,sh,000153,上民红利
2025-09-18,sh,000155,市值百强
