t_adx,t_cci,x_h,r_h,r_l,t_max,mean,sd
5,5,0.5,0.1,-0.5,105,0.0828173614876794,0.115532342264
10,5,0.5,0.1,-0.5,105,0.08501927448238,0.115405176561325
15,5,0.5,0.1,-0.5,105,0.0862352540539043,0.115253761248571
20,5,0.5,0.1,-0.5,105,0.0888828998244764,0.115838212359631
25,5,0.5,0.1,-0.5,105,0.0832236552214534,0.116026896329488
30,5,0.5,0.1,-0.5,105,0.0819694315361387,0.116786991140667
35,5,0.5,0.1,-0.5,105,0.0822584233971752,0.117129130776917
40,5,0.5,0.1,-0.5,105,0.0782509925755305,0.117098637125508
45,5,0.5,0.1,-0.5,105,0.0771989617133447,0.117295690466348
50,5,0.5,0.1,-0.5,105,0.0795411309758216,0.117224101096508
55,5,0.5,0.1,-0.5,105,0.0824385740691956,0.117789577809909
60,5,0.5,0.1,-0.5,105,0.0835101975136614,0.118492456807934
65,5,0.5,0.1,-0.5,105,0.082670271372418,0.118861206800289
70,5,0.5,0.1,-0.5,105,0.0839877450091659,0.118916183287808
75,5,0.5,0.1,-0.5,105,0.0842787990615436,0.118746187144104
80,5,0.5,0.1,-0.5,105,0.0859732782655147,0.11882031772927
85,5,0.5,0.1,-0.5,105,0.0886349497088485,0.118612479135333
90,5,0.5,0.1,-0.5,105,0.0874101127575726,0.11897153327139
95,5,0.5,0.1,-0.5,105,0.0876501366695526,0.119211651787279
100,5,0.5,0.1,-0.5,105,0.0843127305244424,0.119797856819345
5,10,0.5,0.1,-0.5,105,0.0815735350664432,0.115938193788111
10,10,0.5,0.1,-0.5,105,0.084774907814676,0.11564903990956
15,10,0.5,0.1,-0.5,105,0.0861324685201383,0.114210781677838
20,10,0.5,0.1,-0.5,105,0.0888037087562941,0.115235743889614
25,10,0.5,0.1,-0.5,105,0.082002184315367,0.115480680017242
30,10,0.5,0.1,-0.5,105,0.0810518637769426,0.116278987206048
35,10,0.5,0.1,-0.5,105,0.0816759109473532,0.116652546225444
40,10,0.5,0.1,-0.5,105,0.0796531948855012,0.117328396565354
