index,symbol,name,date,prob,class,vol,short,stop,action
000300,601998,中信银行,2025-01-20,0.438,b,3000,FALSE,7.59,SELL
000852,300115,长盈精密,2025-02-10,0.541,e,900,FALSE,25.17,HOLD
000852,300166,东方国信,2025-02-10,0.561,e,1600,FALSE,14.13,HOLD
000852,300757,罗博特科,2025-02-06,0.48,a,100,FALSE,197.41,HOLD
932000,301062,上海艾录,2025-01-27,0.449,a,1800,FALSE,12.57,HOLD
932000,301201,诚达药业,2025-01-27,0.406,b,1100,FALSE,21.31,HOLD
000852,600586,金晶科技,2025-01-27,0.31,b,3900,FALSE,5.89,HOLD
000300,600919,江苏银行,2025-01-27,0.38,c,2000,FALSE,11.3,HOLD
932000,603516,淳中科技,2025-02-06,0.525,a,400,FALSE,61.54,HOLD
000852,300458,全志科技,2025-02-05,0.616,e,400,TRUE,40.71,HOLD
000852,300638,广和通,2025-02-05,0.53,e,700,TRUE,25.37,HOLD
000852,301171,易点天下,2025-02-05,0.53,e,600,TRUE,29.42,HOLD
000852,600388,龙净环保,2025-01-27,0.4,c,1600,TRUE,10.65,HOLD
000905,600580,卧龙电驱,2025-02-05,0.645,e,900,TRUE,19.36,HOLD
