       date symbol     name   dx  cci if1      if3      if5     if10 score
 2024-11-14 600007 中国国贸 0.11 0.05   1     7.14    11.10     8.41  2.83
 2024-11-14 002595 豪迈科技 0.09 0.09   1    -9.94    44.64   112.33  2.57
 2024-11-14 600000 浦发银行 0.22 0.05  -1     7.66     8.98    11.00  2.47
 2024-11-14 600660 福耀玻璃 0.49 0.07   1     5.99     5.47     0.63  2.45
 2024-11-14 601169 北京银行 0.49 0.07   1     4.07     0.07     6.33  2.44
 2024-11-14 600575 淮河能源 0.40 0.17   1    12.84     9.98     6.72  2.43
 2024-11-14 600985 淮北矿业 0.33 0.24   1     1.30     3.36     4.43  2.42
 2024-11-14 603816 顾家家居 0.35 0.23   1     6.89    10.00    22.98  2.42
 2024-11-14 600377 宁沪高速 0.00 0.34   1     0.35    -0.71     0.05  2.41
 2024-11-14 601567 三星医疗 0.37 0.26   1     0.89     1.14     0.97  2.38
 2024-11-14 002966 苏州银行 0.33 0.31   1     0.45     0.60     1.04  2.36
 2024-11-14 002142 宁波银行 0.50 0.16   1     5.73     4.68     6.52  2.34
 2024-11-14 603871 嘉友国际 0.41 0.25   1     0.08     1.44     1.42  2.33
 2024-11-14 002003 伟星股份 0.08 0.12   1     0.33    -1.87    -0.11  2.30
 2024-11-14 600968 海油发展 0.15 0.05  -1    -1.36     0.03     0.03  2.30
 2024-11-14 601166 兴业银行 0.23 0.23  -1     0.53     2.98     0.32  2.30
 2024-11-14 600015 华夏银行 0.51 0.22   1     6.58    10.50    30.75  2.27
 2024-11-14 000915 华特达因 0.46 0.29   1     9.61     7.27     7.09  2.25
 2024-11-14 603268 松发股份 0.17 0.32   1     2.19     3.80   -23.93  2.25
 2024-11-14 002032 苏 泊 尔 0.33 0.17   1    -4.45     4.51    57.25  2.24
 2024-11-14 600674 川投能源 0.43 0.34   1     0.69     4.81     6.69  2.24
 2024-11-14 002016 世荣兆业 0.38 0.39   1     1.14     1.25     2.04  2.23
 2024-11-14 600908 无锡银行 0.44 0.34   1     1.94     5.09     8.83  2.22
 2024-11-14 601077 渝农商行 0.48 0.31   1     1.60     1.12     0.67  2.21
 2024-11-14 600282 南钢股份 0.49 0.31   1     4.99     3.13    13.52  2.20
 2024-11-14 000719 中原传媒 0.39 0.42   1     0.91     0.21     2.55  2.19
 2024-11-14 600062 华润双鹤 0.28 0.28  -1     8.71    13.84    38.27  2.19
 2024-11-14 600350 山东高速 0.38 0.44   1     0.25     0.01     0.26  2.19
 2024-11-14 601225 陕西煤业 0.25 0.32   1     0.96     1.27    -0.05  2.18
 2024-11-14 000062 深圳华强 0.24 0.34   1     1.77     0.62   -37.10  2.17
 2024-11-14 600025 华能水电 0.50 0.33   1     0.77     0.85     1.40  2.17
 2024-11-14 000333 美的集团 0.49 0.36   1     1.43     4.53     3.04  2.15
 2024-11-14 002658   雪迪龙 0.36 0.24   1     2.36     1.85    -0.14  2.15
 2024-11-14 601965 中国汽研 0.47 0.38   1     1.87     4.69     4.34  2.15
 2024-11-14 601601 中国太保 0.06 0.05  -1    -4.81     1.97    -1.43  2.14
 2024-11-14 600018 上港集团 0.49 0.38   1     2.60     5.23    22.37  2.13
 2024-11-14 600463 空港股份 0.24 0.13   1     1.24    -6.41   -18.97  2.13
 2024-11-14 603351 威尔药业 0.52 0.35   1     2.73     0.57     2.12  2.13
 2024-11-14 002205 国统股份 0.38 0.52   1     6.28     2.12     0.03  2.10
 2024-11-14 002659 凯文教育 0.29 0.37   1     6.14    -9.47    20.83  2.09
 2024-11-14 600066 宇通客车 0.28 0.14   1     0.75    -6.93    -8.73  2.08
 2024-11-14 002653   海思科 0.11 0.06  -1     0.22    -2.98    -3.59  2.07
 2024-11-14 600023 浙能电力 0.47 0.46   1     1.33     2.02     1.72  2.07
 2024-11-14 603040   新坐标 0.44 0.49   1     4.79    13.44    18.08  2.07
 2024-11-14 601319 中国人保 0.00 0.19   1    -2.82    -3.85    -5.76  2.06
 2024-11-14 000429 粤高速Ａ 0.56 0.38   1     2.76     0.11     2.32  2.05
 2024-11-14 603600 永艺股份 0.44 0.26   1     1.35    -0.11     2.91  2.05
 2024-11-14 002693 双成药业 0.21 0.00  -1    -2.15     0.23    -0.77  2.04
 2024-11-14 000042 中洲控股 0.52 0.44   1     0.35     1.81     0.69  2.03
 2024-11-14 601019 山东出版 0.22 0.25   1     0.12    -2.05    -2.24  2.03
 2024-11-14 603389 亚振家居 0.42 0.56   1     1.72     2.13     0.24  2.03
 2024-11-14 002048 宁波华翔 0.61 0.37   1     9.02     0.11     0.08  2.01
 2024-11-14 600028 中国石化 0.24 0.25   1    -2.52    -2.31     2.16  2.01
 2024-11-14 000702 正虹科技 0.60 0.40   1     0.20     2.33     1.12  2.00
 2024-11-14 600753 庚星股份 0.35 0.40   1     3.28     2.38    -3.02  2.00
