date,source,index,index_name,stock_count
2026-01-16,csi,000001,上证指数,NA
2026-01-16,csi,000002,A股指数,NA
2026-01-16,csi,000003,B股指数,NA
2026-01-16,csi,000004,工业指数,NA
2026-01-16,csi,000005,商业指数,NA
2026-01-16,csi,000006,地产指数,NA
2026-01-16,csi,000007,公用指数,NA
2026-01-16,csi,000008,综合指数,NA
2026-01-16,csi,000009,上证380,NA
2026-01-16,csi,000010,上证180,NA
2026-01-16,csi,000011,基金指数,NA
2026-01-16,csi,000012,国债指数,NA
2026-01-16,csi,000013,上证企业债指数,NA
2026-01-16,csi,000015,红利指数,NA
2026-01-16,csi,000016,上证50,NA
2026-01-16,csi,000017,新综指,NA
2026-01-16,csi,000018,180金融,NA
2026-01-16,csi,000019,治理指数,NA
2026-01-16,csi,000020,中型综指,NA
2026-01-16,csi,000021,180治理,NA
2026-01-16,csi,000022,上证公司债指数,NA
2026-01-16,csi,000025,180基建,NA
2026-01-16,csi,000026,180资源,NA
2026-01-16,csi,000027,180运输,NA
2026-01-16,csi,000028,180成长,NA
2026-01-16,csi,000029,180价值,NA
2026-01-16,csi,000030,180R成长,NA
2026-01-16,csi,000031,180R价值,NA
2026-01-16,csi,000032,上证能源,NA
2026-01-16,csi,000033,上证材料,NA
2026-01-16,csi,000034,上证工业,NA
2026-01-16,csi,000035,上证可选,NA
2026-01-16,csi,000036,上证消费,NA
2026-01-16,csi,000037,上证医药,NA
2026-01-16,csi,000038,上证金融,NA
2026-01-16,csi,000039,上证信息,NA
2026-01-16,csi,000040,上证电信,NA
2026-01-16,csi,000041,上证公用,NA
2026-01-16,csi,000042,上证央企,NA
2026-01-16,csi,000043,超大盘,NA
2026-01-16,csi,000044,上证中盘,NA
2026-01-16,csi,000045,上证小盘,NA
2026-01-16,csi,000046,上证中小,NA
2026-01-16,csi,000047,上证全指,NA
2026-01-16,csi,000048,责任指数,NA
2026-01-16,csi,000049,上证民企,NA
2026-01-16,csi,000050,50等权,NA
2026-01-16,csi,000051,180等权,NA
2026-01-16,csi,000052,50基本,NA
2026-01-16,csi,000053,180基本,NA
2026-01-16,csi,000054,上证海外,NA
2026-01-16,csi,000055,上证地企,NA
2026-01-16,csi,000056,上证国企,NA
2026-01-16,csi,000057,全指成长,NA
2026-01-16,csi,000058,全指价值,NA
2026-01-16,csi,000059,全R成长,NA
2026-01-16,csi,000060,全R价值,NA
2026-01-16,csi,000061,沪企债30,NA
2026-01-16,csi,000062,上证沪企,NA
2026-01-16,csi,000063,上证周期,NA
2026-01-16,csi,000064,非周期,NA
2026-01-16,csi,000065,上证龙头,NA
2026-01-16,csi,000066,上证商品,NA
2026-01-16,csi,000067,上证新兴,NA
2026-01-16,csi,000068,上证资源,NA
2026-01-16,csi,000069,消费80,NA
2026-01-16,csi,000070,能源等权,NA
2026-01-16,csi,000071,材料等权,NA
2026-01-16,csi,000072,工业等权,NA
2026-01-16,csi,000073,可选等权,NA
2026-01-16,csi,000074,消费等权,NA
2026-01-16,csi,000075,医药等权,NA
2026-01-16,csi,000076,金融等权,NA
2026-01-16,csi,000077,信息等权,NA
2026-01-16,csi,000078,电信等权,NA
2026-01-16,csi,000079,公用等权,NA
2026-01-16,csi,000090,上证流通,NA
2026-01-16,csi,000091,沪财中小,NA
2026-01-16,csi,000092,资源50,NA
2026-01-16,csi,000093,180分层,NA
2026-01-16,csi,000094,上证上游,NA
2026-01-16,csi,000095,上证中游,NA
2026-01-16,csi,000096,上证下游,NA
2026-01-16,csi,000097,高端装备,NA
2026-01-16,csi,000098,上证F200,NA
2026-01-16,csi,000099,上证F300,NA
2026-01-16,csi,000100,上证F500,NA
2026-01-16,csi,000101,5年信用,NA
2026-01-16,csi,000102,沪投资品,NA
2026-01-16,csi,000103,沪消费品,NA
2026-01-16,csi,000104,380能源,NA
2026-01-16,csi,000105,380材料,NA
2026-01-16,csi,000106,380工业,NA
2026-01-16,csi,000107,380可选,NA
2026-01-16,csi,000108,380消费,NA
2026-01-16,csi,000109,380医药,NA
2026-01-16,csi,000110,380金融,NA
2026-01-16,csi,000111,380信息,NA
2026-01-16,csi,000112,380电信,NA
2026-01-16,csi,000113,380公用,NA
2026-01-16,csi,000114,持续产业,NA
2026-01-16,csi,000115,380等权,NA
2026-01-16,csi,000116,信用100,NA
2026-01-16,csi,000117,380成长,NA
2026-01-16,csi,000118,380价值,NA
2026-01-16,csi,000119,380R成长,NA
2026-01-16,csi,000120,380R价值,NA
2026-01-16,csi,000121,医药主题,NA
2026-01-16,csi,000122,农业主题,NA
2026-01-16,csi,000123,180动态,NA
2026-01-16,csi,000125,180稳定,NA
2026-01-16,csi,000126,消费50,NA
2026-01-16,csi,000128,380基本,NA
2026-01-16,csi,000129,180波动,NA
2026-01-16,csi,000130,380波动,NA
2026-01-16,csi,000131,上证高新,NA
2026-01-16,csi,000132,上证100,NA
2026-01-16,csi,000133,上证150,NA
2026-01-16,csi,000134,上证银行,NA
2026-01-16,csi,000135,180高贝,NA
2026-01-16,csi,000136,180低贝,NA
2026-01-16,csi,000137,380高贝,NA
2026-01-16,csi,000138,380低贝,NA
2026-01-16,csi,000139,上证转债,NA
2026-01-16,csi,000141,380动态,NA
2026-01-16,csi,000142,380稳定,NA
2026-01-16,csi,000145,优势资源,NA
2026-01-16,csi,000146,优势制造,NA
2026-01-16,csi,000147,优势消费,NA
2026-01-16,csi,000148,消费领先,NA
2026-01-16,csi,000149,180红利,NA
2026-01-16,csi,000150,380红利,NA
2026-01-16,csi,000151,上国红利,NA
2026-01-16,csi,000152,上央红利,NA
2026-01-16,csi,000153,上民红利,NA
2026-01-16,csi,000155,市值百强,NA
2026-01-16,csi,000158,上证环保,NA
2026-01-16,csi,000159,上证沪股通指数,NA
2026-01-16,csi,000160,上证一带一路主题指数,NA
2026-01-16,csi,000161,上证中国制造2025主题指数,NA
2026-01-16,csi,000162,上证互联网+主题指数,NA
2026-01-16,csi,000171,新兴成指,NA
2026-01-16,csi,000188,中国波指,NA
2026-01-16,csi,000300,沪深300,NA
2026-01-16,csi,000500,内地企业,576
2026-01-16,csi,000501,中国1000,1102
2026-01-16,csi,000510,中证A500,NA
2026-01-16,csi,000680,科创综指,NA
2026-01-16,csi,000681,科创价格,NA
2026-01-16,csi,000682,科创信息,NA
2026-01-16,csi,000683,科创生物,NA
2026-01-16,csi,000685,科创芯片,NA
2026-01-16,csi,000687,科创高装,NA
2026-01-16,csi,000688,科创50,NA
2026-01-16,csi,000689,科创材料,NA
2026-01-16,csi,000690,科创成长,NA
2026-01-16,csi,000691,科创ESG,NA
2026-01-16,csi,000692,科创新能,NA
2026-01-16,csi,000693,科创机械,NA
2026-01-16,csi,000695,科长三角,NA
2026-01-16,csi,000697,科大湾区,NA
2026-01-16,csi,000698,科创100,NA
2026-01-16,csi,000699,科创200,NA
2026-01-16,csi,000801,资源80,NA
2026-01-16,csi,000802,500沪市,NA
2026-01-16,csi,000803,300波动,NA
2026-01-16,csi,000804,500波动,NA
2026-01-16,csi,000805,A股资源,NA
2026-01-16,csi,000806,消费服务,NA
2026-01-16,csi,000807,食品饮料,NA
2026-01-16,csi,000808,医药生物,NA
2026-01-16,csi,000809,细分农业,NA
2026-01-16,csi,000810,细分能源,NA
2026-01-16,csi,000811,细分有色,NA
2026-01-16,csi,000812,细分机械,NA
2026-01-16,csi,000813,细分化工,NA
2026-01-16,csi,000814,细分医药,NA
2026-01-16,csi,000815,细分食品,NA
2026-01-16,csi,000816,细分地产,NA
2026-01-16,csi,000817,兴证海峡,NA
2026-01-16,csi,000818,细分金融,NA
2026-01-16,csi,000819,有色金属,NA
2026-01-16,csi,000820,煤炭指数,NA
2026-01-16,csi,000821,300红利,NA
2026-01-16,csi,000822,500红利,NA
2026-01-16,csi,000823,中证800有色金属指数,NA
2026-01-16,csi,000824,国企红利,NA
2026-01-16,csi,000825,央企红利,NA
2026-01-16,csi,000826,民企红利,NA
2026-01-16,csi,000827,中证环保,NA
2026-01-16,csi,000828,300高贝,NA
2026-01-16,csi,000829,300低贝,NA
2026-01-16,csi,000830,500高贝,NA
2026-01-16,csi,000831,500低贝,NA
2026-01-16,csi,000832,中证转债,NA
2026-01-16,csi,000833,中高企债,NA
2026-01-16,csi,000834,价值7030,2
2026-01-16,csi,000835,价值3070,2
2026-01-16,csi,000836,成长7030,2
2026-01-16,csi,000837,成长3070,2
2026-01-16,csi,000838,创业价值,NA
2026-01-16,csi,000839,浙企综指,NA
2026-01-16,csi,000840,浙江民企,NA
2026-01-16,csi,000841,800医药,NA
2026-01-16,csi,000842,800等权,NA
2026-01-16,csi,000843,300动态,NA
2026-01-16,csi,000844,300稳定,NA
2026-01-16,csi,000845,中期信用,821
2026-01-16,csi,000846,ESG100,NA
2026-01-16,csi,000847,中证腾安价值100指数,NA
2026-01-16,csi,000849,沪深300非银行金融指数,NA
2026-01-16,csi,000850,沪深300有色金属指数,NA
2026-01-16,csi,000851,中证百度百发策略100指数,NA
2026-01-16,csi,000852,中证1000指数,NA
2026-01-16,csi,000853,中证申万一带一路主题投资指数,NA
2026-01-16,csi,000854,500原料,NA
2026-01-16,csi,000855,央视财经500指数,NA
2026-01-16,csi,000856,500工业,NA
2026-01-16,csi,000857,500医药,NA
2026-01-16,csi,000858,500信息,NA
2026-01-16,csi,000859,国企一带一路,100
2026-01-16,csi,000860,结构调整,100
2026-01-16,csi,000861,央企创新,99
2026-01-16,csi,000888,上证收益,NA
2026-01-16,csi,000891,中国战略新兴产业综合指数,NA
