       date symbol adx_mod cci_mod   k_mod trix_mod       x r_med_theor
 2024-11-10 000651  0.1629  0.3939  0.4169  -0.0710  0.0402          NA
 2024-11-10 601811  0.2794  0.2410  0.4082  -0.3132  0.0313          NA
 2024-11-10 600025  0.0283  0.3497  0.6977   1.0000  0.0193          NA
 2024-11-10 600015  0.2663  0.2959  0.1795  -0.4210  0.0048          NA
 2024-11-10 600028  0.0000  0.3245  0.2609   1.0000  0.0000          NA
 2024-11-10 600062  0.0000  0.4916  0.5988  -0.3769  0.0000          NA
 2024-11-10 600282  0.0000 -0.0365 -0.2000  -0.6962  0.0000          NA
 2024-11-10 600483  0.0082 -0.3748  0.0732  -0.5765 -0.0024          NA
 2024-11-10 603279  0.0609 -0.0500 -0.3222  -0.8619 -0.0250          NA
 2024-11-10 601009  0.2440 -0.2181 -0.3968   0.2968 -0.0259          NA
 2024-11-10 600309  0.0598 -0.3858 -0.5504  -0.4767 -0.0282          NA
 2024-11-10 000539  0.0895 -0.2591 -0.0732  -1.0000 -0.0397          NA
 2024-11-10 000513  0.7209  0.1107 -0.2887  -0.2906 -0.1126          NA
 2024-11-10 603337  0.6366  0.1482  0.2158  -0.9561 -0.1256          NA
 2024-11-10 002749  0.3174 -0.5474 -0.5310  -1.0000 -0.2199          NA
 2024-11-10 600586  1.0000 -0.0346  0.1852  -1.0000 -0.2832          NA
 2024-11-10 002911  0.9285 -0.2713 -0.0182  -0.9065 -0.3702          NA
 2024-11-10 000930  0.7345 -0.4405 -0.3091  -0.8841 -0.4000          NA
 2024-11-10 002237  0.8376 -0.3666 -0.6145  -1.0000 -0.5531          NA
 2024-11-10 000990  0.9966 -0.5672 -0.3333  -0.9994 -0.6311     -0.8598
 2024-11-10 000591  1.0000 -0.3707 -0.5873  -1.0000 -0.6527          NA
